algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
exact,3,50,0.01,0.01,140,4059,2.24461
exact,3,50,0.01,0.01,140,3949,2.2528
exact,3,50,0.01,0.01,140,3830,2.24461
bound,3,50,0.01,0.01,140,70,1.1264
bound,3,50,0.01,0.01,140,66,1.13869
bound,3,50,0.01,0.01,140,65,1.14278
star,3,50,0.01,0.01,140,108,1.18374
star,3,50,0.01,0.01,140,110,1.16326
star,3,50,0.01,0.01,140,111,1.17555
tree,3,50,0.01,0.01,140,121,1.17555
tree,3,50,0.01,0.01,140,326,1.16736
tree,3,50,0.01,0.01,140,135,1.18374
exact,3,100,0.01,0.01,278,45387,9.37574
exact,3,100,0.01,0.01,278,41923,9.37165
exact,3,100,0.01,0.01,278,41852,9.36346
bound,3,100,0.01,0.01,278,192,1.17146
bound,3,100,0.01,0.01,278,421,1.16736
bound,3,100,0.01,0.01,278,188,1.16326
star,3,100,0.01,0.01,278,393,1.37626
star,3,100,0.01,0.01,278,361,1.35168
star,3,100,0.01,0.01,278,306,1.36397
tree,3,100,0.01,0.01,278,662,1.35168
tree,3,100,0.01,0.01,278,636,1.35168
tree,3,100,0.01,0.01,278,486,1.35987
exact,3,150,0.01,0.01,430,469288,28.7252
exact,3,150,0.01,0.01,430,462748,28.7212
exact,3,150,0.01,0.01,430,475894,28.7212
bound,3,150,0.01,0.01,430,436,1.24928
bound,3,150,0.01,0.01,430,432,1.24928
bound,3,150,0.01,0.01,430,843,1.26566
star,3,150,0.01,0.01,430,611,1.67117
star,3,150,0.01,0.01,430,605,1.67117
star,3,150,0.01,0.01,430,618,1.67117
tree,3,150,0.01,0.01,430,615,1.67117
tree,3,150,0.01,0.01,430,688,1.69165
tree,3,150,0.01,0.01,430,675,1.66707
exact,3,200,0.01,0.01,572,1153642,69.1569
exact,3,200,0.01,0.01,572,1153064,69.1651
exact,3,200,0.01,0.01,572,1147904,69.1528
bound,3,200,0.01,0.01,572,1080,1.48275
bound,3,200,0.01,0.01,572,1076,1.49094
bound,3,200,0.01,0.01,572,1086,1.46227
star,3,200,0.01,0.01,572,1348,2.11763
star,3,200,0.01,0.01,572,1281,2.11763
star,3,200,0.01,0.01,572,1749,2.12173
tree,3,200,0.01,0.01,572,1066,2.11354
tree,3,200,0.01,0.01,572,1075,2.10944
tree,3,200,0.01,0.01,572,1104,2.10125
exact,3,250,0.01,0.01,714,2897563,134.033
exact,3,250,0.01,0.01,714,2489228,134.013
exact,3,250,0.01,0.01,714,2438641,134.017
bound,3,250,0.01,0.01,714,1923,1.70803
bound,3,250,0.01,0.01,714,1888,1.69574
bound,3,250,0.01,0.01,714,1983,1.69165
star,3,250,0.01,0.01,714,2276,2.67878
star,3,250,0.01,0.01,714,1626,2.67878
star,3,250,0.01,0.01,714,2324,2.68288
tree,3,250,0.01,0.01,714,1719,2.67878
tree,3,250,0.01,0.01,714,2323,2.68698
tree,3,250,0.01,0.01,714,1777,2.69926
exact,3,300,0.01,0.01,866,4254411,226.32
exact,3,300,0.01,0.01,866,4402055,226.312
exact,3,300,0.01,0.01,866,3949033,226.32
bound,3,300,0.01,0.01,866,2822,1.99885
bound,3,300,0.01,0.01,866,2873,1.98656
bound,3,300,0.01,0.01,866,2913,1.98656
star,3,300,0.01,0.01,866,2770,3.34643
star,3,300,0.01,0.01,866,2631,3.36282
star,3,300,0.01,0.01,866,2885,3.35053
tree,3,300,0.01,0.01,866,2351,3.36282
tree,3,300,0.01,0.01,866,2388,3.35053
tree,3,300,0.01,0.01,866,2373,3.35053
exact,3,350,0.01,0.01,993,6346267,365.814
