algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
exact,3,50,0.1,0.1,106,5297,2.53133
exact,3,50,0.1,0.1,106,4971,2.50675
exact,3,50,0.1,0.1,106,5777,2.51085
bound,3,50,0.1,0.1,47,78,1.1264
bound,3,50,0.1,0.1,47,83,1.13459
bound,3,50,0.1,0.1,47,78,1.15098
star,3,50,0.1,0.1,104,120,1.17965
star,3,50,0.1,0.1,104,119,1.17965
star,3,50,0.1,0.1,104,202,1.18784
tree,3,50,0.1,0.1,101,123,1.18374
tree,3,50,0.1,0.1,101,123,1.17146
tree,3,50,0.1,0.1,101,123,1.19194
exact,3,100,0.1,0.1,180,66925,12.673
exact,3,100,0.1,0.1,180,57442,12.673
exact,3,100,0.1,0.1,180,85145,12.6935
bound,3,100,0.1,0.1,148,226,1.17146
bound,3,100,0.1,0.1,148,226,1.17146
bound,3,100,0.1,0.1,148,225,1.16326
star,3,100,0.1,0.1,176,344,1.41722
star,3,100,0.1,0.1,176,352,1.41722
star,3,100,0.1,0.1,176,345,1.41722
tree,3,100,0.1,0.1,173,358,1.41722
tree,3,100,0.1,0.1,173,357,1.40083
tree,3,100,0.1,0.1,173,354,1.41722
exact,3,150,0.1,0.1,266,595084,39.7926
exact,3,150,0.1,0.1,266,583172,39.7885
exact,3,150,0.1,0.1,266,634520,39.7926
bound,3,150,0.1,0.1,251,525,1.26566
bound,3,150,0.1,0.1,251,744,1.28205
bound,3,150,0.1,0.1,251,522,1.26566
star,3,150,0.1,0.1,260,849,1.78586
star,3,150,0.1,0.1,260,726,1.77766
star,3,150,0.1,0.1,260,859,1.77357
tree,3,150,0.1,0.1,260,1227,1.78586
tree,3,150,0.1,0.1,260,802,1.79814
tree,3,150,0.1,0.1,260,738,1.77357
exact,3,200,0.1,0.1,318,1441979,92.3935
exact,3,200,0.1,0.1,318,1421849,92.4099
exact,3,200,0.1,0.1,318,1431631,92.4099
bound,3,200,0.1,0.1,254,1313,1.52371
bound,3,200,0.1,0.1,254,1333,1.49914
bound,3,200,0.1,0.1,254,1321,1.51142
star,3,200,0.1,0.1,303,1341,2.31014
star,3,200,0.1,0.1,303,1482,2.31834
star,3,200,0.1,0.1,303,1321,2.30605
tree,3,200,0.1,0.1,303,1269,2.32653
tree,3,200,0.1,0.1,303,1321,2.31834
tree,3,200,0.1,0.1,303,1358,2.32243
exact,3,250,0.1,0.1,400,2850476,180.879
exact,3,250,0.1,0.1,400,2857189,180.859
exact,3,250,0.1,0.1,400,2844778,180.867
bound,3,250,0.1,0.1,281,3936,1.75718
bound,3,250,0.1,0.1,281,2218,1.75309
bound,3,250,0.1,0.1,281,2214,1.75309
star,3,250,0.1,0.1,372,1966,3.04333
star,3,250,0.1,0.1,372,2004,3.03514
star,3,250,0.1,0.1,372,2036,3.03923
tree,3,250,0.1,0.1,372,2105,3.02694
tree,3,250,0.1,0.1,372,2144,3.03104
tree,3,250,0.1,0.1,372,2020,3.02285
exact,3,300,0.1,0.1,503,5150258,324.571
exact,3,300,0.1,0.1,503,5574506,324.567
exact,3,300,0.1,0.1,503,5672000,324.559
bound,3,300,0.1,0.1,257,3677,2.09715
bound,3,300,0.1,0.1,257,3762,2.11763
bound,3,300,0.1,0.1,257,3685,2.09715
star,3,300,0.1,0.1,461,2959,3.87482
star,3,300,0.1,0.1,461,3086,3.86662
star,3,300,0.1,0.1,461,4132,3.87072
tree,3,300,0.1,0.1,461,3998,3.88301
