algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
bound,3,550,0.1,0.1,619,18251,5.9392
bound,3,550,0.1,0.1,619,18248,5.92282
bound,3,550,0.1,0.1,619,18316,5.91872
star,3,550,0.1,0.1,784,13977,10.3219
star,3,550,0.1,0.1,784,13593,10.3301
star,3,550,0.1,0.1,784,12859,10.3383
tree,3,550,0.1,0.1,784,13650,10.326
tree,3,550,0.1,0.1,784,13278,10.3383
tree,3,550,0.1,0.1,784,13135,10.326
bound,3,600,0.1,0.1,957,24392,7.7783
bound,3,600,0.1,0.1,957,24508,7.76602
bound,3,600,0.1,0.1,957,24472,7.7824
star,3,600,0.1,0.1,878,15236,12.1242
star,3,600,0.1,0.1,878,16532,12.1201
star,3,600,0.1,0.1,878,15342,12.1324
tree,3,600,0.1,0.1,878,15823,12.1242
tree,3,600,0.1,0.1,878,15894,12.1201
tree,3,600,0.1,0.1,878,15920,12.1078
bound,3,650,0.1,0.1,1056,29925,9.15866
bound,3,650,0.1,0.1,1056,29551,9.15866
bound,3,650,0.1,0.1,1056,30245,9.15046
star,3,650,0.1,0.1,983,19941,13.951
star,3,650,0.1,0.1,983,19844,13.951
star,3,650,0.1,0.1,983,19578,13.9469
tree,3,650,0.1,0.1,983,19649,13.9387
tree,3,650,0.1,0.1,983,19632,13.9346
tree,3,650,0.1,0.1,983,19381,13.9469
bound,3,700,0.1,0.1,1156,36562,10.793
bound,3,700,0.1,0.1,1156,36863,10.8012
bound,3,700,0.1,0.1,1156,36560,10.8052
star,3,700,0.1,0.1,1078,22209,16.171
star,3,700,0.1,0.1,1078,21722,16.1587
star,3,700,0.1,0.1,1078,21732,16.1628
tree,3,700,0.1,0.1,1078,23232,16.1546
tree,3,700,0.1,0.1,1078,21833,16.1546
tree,3,700,0.1,0.1,1078,21852,16.1587
bound,3,750,0.1,0.1,1221,46927,12.5338
bound,3,750,0.1,0.1,1221,43349,12.5501
bound,3,750,0.1,0.1,1221,43825,12.546
star,3,750,0.1,0.1,1116,26182,18.3173
star,3,750,0.1,0.1,1116,23309,18.3214
star,3,750,0.1,0.1,1116,23407,18.3255
tree,3,750,0.1,0.1,1116,24057,18.3173
tree,3,750,0.1,0.1,1116,23884,18.3173
tree,3,750,0.1,0.1,1116,23370,18.3214
bound,3,800,0.1,0.1,1203,56865,15.9703
bound,3,800,0.1,0.1,1203,57539,15.9498
bound,3,800,0.1,0.1,1203,56821,15.9539
star,3,800,0.1,0.1,1111,30518,21.0043
star,3,800,0.1,0.1,1111,29342,21.0289
star,3,800,0.1,0.1,1111,30069,21.0084
tree,3,800,0.1,0.1,1108,29594,21.0125
tree,3,800,0.1,0.1,1108,29791,21.0207
tree,3,800,0.1,0.1,1108,31950,21.0248
bound,3,850,0.1,0.1,1385,66473,18.0838
bound,3,850,0.1,0.1,1385,65547,18.0797
bound,3,850,0.1,0.1,1385,67698,18.0879
star,3,850,0.1,0.1,1292,46514,23.1465
star,3,850,0.1,0.1,1292,30990,23.1547
star,3,850,0.1,0.1,1292,32555,23.1506
tree,3,850,0.1,0.1,1292,31292,23.1588
tree,3,850,0.1,0.1,1292,33879,23.1424
tree,3,850,0.1,0.1,1292,30901,23.1547
bound,3,900,0.1,0.1,1460,76296,20.6316
bound,3,900,0.1,0.1,1460,76809,20.6316
bound,3,900,0.1,0.1,1460,75606,20.6397
star,3,900,0.1,0.1,1332,35375,25.8007
star,3,900,0.1,0.1,1332,37893,25.8048
star,3,900,0.1,0.1,1332,36352,25.7843
tree,3,900,0.1,0.1,1332,35988,25.8089
tree,3,900,0.1,0.1,1332,37612,25.7966
