algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
star,3,1500,0.1,0.1,2305,100069,69.2101
star,3,1500,0.1,0.1,2305,101184,69.2019
star,3,1500,0.1,0.1,2305,103070,69.2101
tree,3,1500,0.1,0.1,2305,109836,69.2101
tree,3,1500,0.1,0.1,2305,134843,69.2101
tree,3,1500,0.1,0.1,2305,135621,69.206
star,3,1550,0.1,0.1,2338,114402,73.7157
star,3,1550,0.1,0.1,2338,114371,73.7157
star,3,1550,0.1,0.1,2338,116620,73.7157
tree,3,1550,0.1,0.1,2338,119069,73.7116
tree,3,1550,0.1,0.1,2338,135456,73.7239
tree,3,1550,0.1,0.1,2338,112550,73.7034
star,3,1600,0.1,0.1,2449,117005,78.6473
star,3,1600,0.1,0.1,2449,117796,78.635
star,3,1600,0.1,0.1,2449,120870,78.6596
tree,3,1600,0.1,0.1,2449,123859,78.6637
tree,3,1600,0.1,0.1,2449,123850,78.6514
tree,3,1600,0.1,0.1,2449,138130,78.6555
star,3,1650,0.1,0.1,2604,128934,83.5256
star,3,1650,0.1,0.1,2604,130036,83.5338
star,3,1650,0.1,0.1,2604,130122,83.5461
tree,3,1650,0.1,0.1,2604,133685,83.5215
tree,3,1650,0.1,0.1,2604,134916,83.5297
tree,3,1650,0.1,0.1,2604,154628,83.5379
star,3,1700,0.1,0.1,2560,144476,88.7644
star,3,1700,0.1,0.1,2560,144097,88.7685
star,3,1700,0.1,0.1,2560,140087,88.7685
tree,3,1700,0.1,0.1,2560,140429,88.7644
tree,3,1700,0.1,0.1,2560,153116,88.7849
tree,3,1700,0.1,0.1,2560,173266,88.7644
star,3,1750,0.1,0.1,2670,152371,93.7615
star,3,1750,0.1,0.1,2670,142188,93.737
star,3,1750,0.1,0.1,2670,144051,93.7492
tree,3,1750,0.1,0.1,2670,159221,93.7615
tree,3,1750,0.1,0.1,2670,180879,93.7656
tree,3,1750,0.1,0.1,2670,184723,93.7533
star,3,1800,0.1,0.1,2710,153516,99.1519
star,3,1800,0.1,0.1,2710,153658,99.156
star,3,1800,0.1,0.1,2710,167734,99.1601
tree,3,1800,0.1,0.1,2710,172253,99.1355
tree,3,1800,0.1,0.1,2710,180809,99.1396
tree,3,1800,0.1,0.1,2710,151908,99.1355
star,3,1850,0.1,0.1,2781,188147,104.493
star,3,1850,0.1,0.1,2781,198844,104.518
star,3,1850,0.1,0.1,2781,210824,104.489
tree,3,1850,0.1,0.1,2781,194658,104.497
tree,3,1850,0.1,0.1,2781,178050,104.493
tree,3,1850,0.1,0.1,2781,177859,104.505
star,3,1900,0.1,0.1,2941,193869,110.186
star,3,1900,0.1,0.1,2941,196871,110.191
star,3,1900,0.1,0.1,2941,202038,110.182
tree,3,1900,0.1,0.1,2941,199245,110.203
tree,3,1900,0.1,0.1,2941,190402,110.191
tree,3,1900,0.1,0.1,2941,194278,110.211
star,3,1950,0.1,0.1,2952,208563,115.991
star,3,1950,0.1,0.1,2952,191631,115.991
star,3,1950,0.1,0.1,2952,202294,115.986
tree,3,1950,0.1,0.1,2952,202538,115.995
tree,3,1950,0.1,0.1,2952,217172,116.015
tree,3,1950,0.1,0.1,2952,221619,116.011
star,3,2000,0.1,0.1,3035,218112,121.954
star,3,2000,0.1,0.1,3035,235801,121.954
star,3,2000,0.1,0.1,3035,223287,121.946
tree,3,2000,0.1,0.1,3035,234927,121.954
tree,3,2000,0.1,0.1,3035,219330,121.971
tree,3,2000,0.1,0.1,3035,215706,121.975
star,3,2050,0.1,0.1,3152,254032,128.086
star,3,2050,0.1,0.1,3152,227033,128.082
star,3,2050,0.1,0.1,3152,226565,128.078
tree,3,2050,0.1,0.1,3152,231186,128.09
tree,3,2050,0.1,0.1,3152,246378,128.086
tree,3,2050,0.1,0.1,3152,219868,128.098
star,3,2100,0.1,0.1,3231,244251,134.402
star,3,2100,0.1,0.1,3231,243283,134.406
star,3,2100,0.1,0.1,3231,252961,134.406
tree,3,2100,0.1,0.1,3230,234850,134.418
tree,3,2100,0.1,0.1,3230,252048,134.398
tree,3,2100,0.1,0.1,3230,247455,134.414
star,3,2150,0.1,0.1,3404,260369,140.71
star,3,2150,0.1,0.1,3404,247698,140.71
star,3,2150,0.1,0.1,3404,277852,140.71
tree,3,2150,0.1,0.1,3404,308079,140.726
tree,3,2150,0.1,0.1,3404,261796,140.739
tree,3,2150,0.1,0.1,3404,270162,140.739
star,3,2200,0.1,0.1,3450,287441,147.358
star,3,2200,0.1,0.1,3450,273804,147.345
star,3,2200,0.1,0.1,3450,260386,147.362
tree,3,2200,0.1,0.1,3450,403056,147.35
tree,3,2200,0.1,0.1,3450,279801,147.366
tree,3,2200,0.1,0.1,3450,296052,147.366
star,3,2250,0.1,0.1,3484,310878,153.825
star,3,2250,0.1,0.1,3484,285993,153.821
star,3,2250,0.1,0.1,3484,283133,153.833
tree,3,2250,0.1,0.1,3484,306308,153.833
tree,3,2250,0.1,0.1,3484,282202,153.829
tree,3,2250,0.1,0.1,3484,283109,153.842
star,3,2300,0.1,0.1,3446,317000,160.621
star,3,2300,0.1,0.1,3446,321196,160.621
star,3,2300,0.1,0.1,3446,297021,160.625
tree,3,2300,0.1,0.1,3446,316103,160.608
tree,3,2300,0.1,0.1,3446,303682,160.608
tree,3,2300,0.1,0.1,3446,308010,160.616
star,3,2350,0.1,0.1,3701,325787,167.326
star,3,2350,0.1,0.1,3701,345911,167.342
star,3,2350,0.1,0.1,3701,327706,167.334
tree,3,2350,0.1,0.1,3701,321310,167.33
tree,3,2350,0.1,0.1,3701,316102,167.354
tree,3,2350,0.1,0.1,3701,315435,167.33
star,3,2400,0.1,0.1,3668,334946,174.875
star,3,2400,0.1,0.1,3668,335267,174.875
star,3,2400,0.1,0.1,3668,343088,174.862
tree,3,2400,0.1,0.1,3668,343478,174.875
tree,3,2400,0.1,0.1,3668,331809,174.879
tree,3,2400,0.1,0.1,3668,335600,174.883
star,3,2450,0.1,0.1,3919,367236,181.293
star,3,2450,0.1,0.1,3919,349255,181.318
star,3,2450,0.1,0.1,3919,345375,181.297
tree,3,2450,0.1,0.1,3919,335774,181.289
tree,3,2450,0.1,0.1,3919,344258,181.285
tree,3,2450,0.1,0.1,3919,351533,181.297
star,3,2500,0.1,0.1,3950,354372,188.981
star,3,2500,0.1,0.1,3950,361290,188.961
star,3,2500,0.1,0.1,3950,353174,188.973
tree,3,2500,0.1,0.1,3950,352428,188.973
tree,3,2500,0.1,0.1,3950,353831,188.981
tree,3,2500,0.1,0.1,3950,347998,188.969
star,3,2550,0.1,0.1,3987,366618,196.604
star,3,2550,0.1,0.1,3987,371548,196.612
star,3,2550,0.1,0.1,3987,371034,196.62
tree,3,2550,0.1,0.1,3987,387754,196.62
tree,3,2550,0.1,0.1,3987,362760,196.62
tree,3,2550,0.1,0.1,3987,365275,196.616
star,3,2600,0.1,0.1,4033,378710,204.513
star,3,2600,0.1,0.1,4033,378538,204.521
star,3,2600,0.1,0.1,4033,389720,204.521
tree,3,2600,0.1,0.1,4033,397057,204.53
tree,3,2600,0.1,0.1,4033,385309,204.546
tree,3,2600,0.1,0.1,4033,420513,204.521
star,3,2650,0.1,0.1,4190,435134,212.525
star,3,2650,0.1,0.1,4190,429926,212.509
star,3,2650,0.1,0.1,4190,435814,212.537
tree,3,2650,0.1,0.1,4190,422861,212.509
tree,3,2650,0.1,0.1,4190,422134,212.525
tree,3,2650,0.1,0.1,4190,426633,212.537
star,3,2700,0.1,0.1,4125,463358,221.078
star,3,2700,0.1,0.1,4125,445952,221.073
star,3,2700,0.1,0.1,4125,445271,221.065
tree,3,2700,0.1,0.1,4116,452981,221.086
tree,3,2700,0.1,0.1,4116,433588,221.078
tree,3,2700,0.1,0.1,4116,436708,221.082
star,3,2750,0.1,0.1,4335,453535,229.159
star,3,2750,0.1,0.1,4335,460428,229.167
star,3,2750,0.1,0.1,4335,446817,229.143
tree,3,2750,0.1,0.1,4335,453299,229.151
tree,3,2750,0.1,0.1,4335,456519,229.143
tree,3,2750,0.1,0.1,4335,467494,229.143
star,3,2800,0.1,0.1,4295,482838,237.761
star,3,2800,0.1,0.1,4295,481750,237.761
star,3,2800,0.1,0.1,4295,478784,237.769
tree,3,2800,0.1,0.1,4297,476864,237.765
tree,3,2800,0.1,0.1,4297,474374,237.769
tree,3,2800,0.1,0.1,4297,478582,237.761
star,3,2850,0.1,0.1,4379,500361,246.284
star,3,2850,0.1,0.1,4379,507805,246.297
star,3,2850,0.1,0.1,4379,496693,246.28
tree,3,2850,0.1,0.1,4379,504715,246.297
tree,3,2850,0.1,0.1,4379,509630,246.309
tree,3,2850,0.1,0.1,4379,516205,246.301
star,3,2900,0.1,0.1,4681,536888,255.267
star,3,2900,0.1,0.1,4681,511323,255.271
star,3,2900,0.1,0.1,4681,509476,255.271
tree,3,2900,0.1,0.1,4681,507641,255.271
