algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
bound,3,550,0.01,0.01,1550,14599,5.37805
bound,3,550,0.01,0.01,1550,14604,5.38214
bound,3,550,0.01,0.01,1550,14503,5.38214
star,3,550,0.01,0.01,1550,10881,8.58112
star,3,550,0.01,0.01,1550,11259,8.57293
star,3,550,0.01,0.01,1550,10042,8.55654
tree,3,550,0.01,0.01,1550,10817,8.58112
tree,3,550,0.01,0.01,1550,10556,8.56883
tree,3,550,0.01,0.01,1550,10852,8.56064
bound,3,600,0.01,0.01,1698,20106,7.08198
bound,3,600,0.01,0.01,1698,20283,7.08608
bound,3,600,0.01,0.01,1698,20112,7.08608
star,3,600,0.01,0.01,1698,13511,9.96147
star,3,600,0.01,0.01,1698,13213,9.96966
star,3,600,0.01,0.01,1698,15068,9.94918
tree,3,600,0.01,0.01,1698,13393,9.96966
tree,3,600,0.01,0.01,1698,13297,9.96147
tree,3,600,0.01,0.01,1698,13938,9.96966
bound,3,650,0.01,0.01,1856,24719,8.33536
bound,3,650,0.01,0.01,1856,24927,8.35174
bound,3,650,0.01,0.01,1856,24834,8.32717
star,3,650,0.01,0.01,1856,17339,11.5466
star,3,650,0.01,0.01,1856,16258,11.5466
star,3,650,0.01,0.01,1856,16421,11.5425
tree,3,650,0.01,0.01,1856,16030,11.5384
tree,3,650,0.01,0.01,1856,16726,11.5548
tree,3,650,0.01,0.01,1856,15452,11.5507
bound,3,700,0.01,0.01,1976,30185,9.75667
bound,3,700,0.01,0.01,1976,30372,9.77306
bound,3,700,0.01,0.01,1976,31680,9.77715
star,3,700,0.01,0.01,1975,17559,13.1973
star,3,700,0.01,0.01,1975,16904,13.2014
star,3,700,0.01,0.01,1975,17295,13.1973
tree,3,700,0.01,0.01,1975,16589,13.1932
tree,3,700,0.01,0.01,1975,18061,13.2055
tree,3,700,0.01,0.01,1975,16602,13.2014
bound,3,750,0.01,0.01,2120,36357,11.3746
bound,3,750,0.01,0.01,2120,36868,11.3951
bound,3,750,0.01,0.01,2120,36485,11.3746
star,3,750,0.01,0.01,2115,18968,15.0159
star,3,750,0.01,0.01,2115,19464,15.0118
star,3,750,0.01,0.01,2115,19248,15.0118
tree,3,750,0.01,0.01,2115,19349,15.0118
tree,3,750,0.01,0.01,2115,19771,15.0241
tree,3,750,0.01,0.01,2115,19808,15.0241
bound,3,800,0.01,0.01,2288,47219,14.2991
bound,3,800,0.01,0.01,2288,46775,14.295
bound,3,800,0.01,0.01,2288,47116,14.3237
star,3,800,0.01,0.01,2288,22564,16.9615
star,3,800,0.01,0.01,2288,23475,16.9697
star,3,800,0.01,0.01,2288,24031,16.9738
tree,3,800,0.01,0.01,2288,22409,16.9697
tree,3,800,0.01,0.01,2288,24295,16.9697
tree,3,800,0.01,0.01,2288,34335,16.9779
