algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
star,3,1500,0.01,0.01,4235,80497,56.6231
star,3,1500,0.01,0.01,4235,80450,56.6231
star,3,1500,0.01,0.01,4235,84160,56.6436
tree,3,1500,0.01,0.01,4235,81064,56.6395
tree,3,1500,0.01,0.01,4235,81286,56.6395
tree,3,1500,0.01,0.01,4235,82747,56.6231
star,3,1550,0.01,0.01,4400,90347,60.3791
star,3,1550,0.01,0.01,4400,150806,60.3955
star,3,1550,0.01,0.01,4400,100835,60.3709
tree,3,1550,0.01,0.01,4400,111913,60.3464
tree,3,1550,0.01,0.01,4400,96455,60.3709
tree,3,1550,0.01,0.01,4400,105357,60.3587
star,3,1600,0.01,0.01,4543,95922,64.1638
star,3,1600,0.01,0.01,4543,93947,64.1434
star,3,1600,0.01,0.01,4543,96325,64.1597
tree,3,1600,0.01,0.01,4543,98884,64.1679
tree,3,1600,0.01,0.01,4543,99540,64.1597
tree,3,1600,0.01,0.01,4543,100823,64.1597
star,3,1650,0.01,0.01,4675,102401,68.2312
star,3,1650,0.01,0.01,4675,109590,68.2394
star,3,1650,0.01,0.01,4675,100645,68.2353
tree,3,1650,0.01,0.01,4675,97815,68.2598
tree,3,1650,0.01,0.01,4675,103345,68.2516
tree,3,1650,0.01,0.01,4675,103798,68.2353
star,3,1700,0.01,0.01,4797,120270,72.2985
star,3,1700,0.01,0.01,4797,132005,72.2985
star,3,1700,0.01,0.01,4797,123542,72.2862
tree,3,1700,0.01,0.01,4797,134663,72.2903
tree,3,1700,0.01,0.01,4797,119181,72.3067
tree,3,1700,0.01,0.01,4797,108938,72.3026
star,3,1750,0.01,0.01,4944,125812,76.4559
star,3,1750,0.01,0.01,4944,127558,76.4518
star,3,1750,0.01,0.01,4944,130113,76.4682
tree,3,1750,0.01,0.01,4944,130375,76.4559
tree,3,1750,0.01,0.01,4944,130079,76.4518
tree,3,1750,0.01,0.01,4944,121610,76.4477
star,3,1800,0.01,0.01,5096,133911,80.855
star,3,1800,0.01,0.01,5096,139317,80.855
star,3,1800,0.01,0.01,5096,134289,80.8591
tree,3,1800,0.01,0.01,5096,142699,80.8632
tree,3,1800,0.01,0.01,5096,137842,80.8428
tree,3,1800,0.01,0.01,5096,126919,80.8591
star,3,1850,0.01,0.01,5216,131514,85.3033
star,3,1850,0.01,0.01,5216,132899,85.3074
star,3,1850,0.01,0.01,5216,135743,85.3156
tree,3,1850,0.01,0.01,5216,138190,85.3279
tree,3,1850,0.01,0.01,5216,203499,85.3197
tree,3,1850,0.01,0.01,5216,142739,85.3074
star,3,1900,0.01,0.01,5379,149572,89.9604
star,3,1900,0.01,0.01,5379,143102,89.9482
star,3,1900,0.01,0.01,5379,149542,89.9523
tree,3,1900,0.01,0.01,5379,146483,89.9564
tree,3,1900,0.01,0.01,5379,146540,89.9564
tree,3,1900,0.01,0.01,5379,140855,89.9686
star,3,1950,0.01,0.01,5522,159621,94.6463
star,3,1950,0.01,0.01,5522,165448,94.6463
star,3,1950,0.01,0.01,5522,158877,94.6627
tree,3,1950,0.01,0.01,5522,160483,94.6545
tree,3,1950,0.01,0.01,5522,162174,94.6545
tree,3,1950,0.01,0.01,5522,152616,94.6545
star,3,2000,0.01,0.01,5711,158623,99.3853
star,3,2000,0.01,0.01,5711,161773,99.3935
star,3,2000,0.01,0.01,5711,167888,99.3935
tree,3,2000,0.01,0.01,5711,165898,99.4017
tree,3,2000,0.01,0.01,5711,153460,99.3935
tree,3,2000,0.01,0.01,5711,160106,99.3935
star,3,2050,0.01,0.01,5827,188948,104.411
star,3,2050,0.01,0.01,5827,197191,104.423
star,3,2050,0.01,0.01,5827,201203,104.423
tree,3,2050,0.01,0.01,5827,179067,104.428
tree,3,2050,0.01,0.01,5827,195379,104.415
tree,3,2050,0.01,0.01,5827,191211,104.407
star,3,2100,0.01,0.01,5937,190965,109.507
star,3,2100,0.01,0.01,5937,217415,109.494
star,3,2100,0.01,0.01,5937,179686,109.507
tree,3,2100,0.01,0.01,5937,187947,109.511
tree,3,2100,0.01,0.01,5937,195702,109.502
tree,3,2100,0.01,0.01,5937,238316,109.502
star,3,2150,0.01,0.01,6105,187049,114.659
star,3,2150,0.01,0.01,6105,199629,114.684
star,3,2150,0.01,0.01,6105,199177,114.651
tree,3,2150,0.01,0.01,6105,203329,114.655
tree,3,2150,0.01,0.01,6105,221306,114.659
tree,3,2150,0.01,0.01,6105,196434,114.672
star,3,2200,0.01,0.01,6264,207386,119.906
star,3,2200,0.01,0.01,6264,224897,119.906
star,3,2200,0.01,0.01,6264,221136,119.91
tree,3,2200,0.01,0.01,6264,202276,119.919
tree,3,2200,0.01,0.01,6264,208658,119.914
tree,3,2200,0.01,0.01,6264,213656,119.902
star,3,2250,0.01,0.01,6381,226558,125.46
star,3,2250,0.01,0.01,6381,216017,125.44
star,3,2250,0.01,0.01,6381,220599,125.448
tree,3,2250,0.01,0.01,6381,224805,125.452
tree,3,2250,0.01,0.01,6381,228176,125.469
tree,3,2250,0.01,0.01,6381,216840,125.46
star,3,2300,0.01,0.01,6550,230080,131.097
star,3,2300,0.01,0.01,6550,232402,131.092
star,3,2300,0.01,0.01,6550,235098,131.08
tree,3,2300,0.01,0.01,6550,224441,131.076
tree,3,2300,0.01,0.01,6550,236741,131.088
tree,3,2300,0.01,0.01,6550,240104,131.088
star,3,2350,0.01,0.01,6646,247315,136.806
star,3,2350,0.01,0.01,6646,240074,136.786
star,3,2350,0.01,0.01,6646,250233,136.802
tree,3,2350,0.01,0.01,6646,248328,136.798
tree,3,2350,0.01,0.01,6646,246845,136.786
tree,3,2350,0.01,0.01,6646,239036,136.798
star,3,2400,0.01,0.01,6836,261600,142.606
star,3,2400,0.01,0.01,6836,267356,142.602
star,3,2400,0.01,0.01,6836,255568,142.598
tree,3,2400,0.01,0.01,6836,266988,142.619
tree,3,2400,0.01,0.01,6836,266211,142.606
tree,3,2400,0.01,0.01,6836,265852,142.598
star,3,2450,0.01,0.01,6971,264778,148.48
star,3,2450,0.01,0.01,6971,272413,148.455
star,3,2450,0.01,0.01,6971,272867,148.455
tree,3,2450,0.01,0.01,6971,265124,148.464
tree,3,2450,0.01,0.01,6971,268534,148.476
tree,3,2450,0.01,0.01,6971,274983,148.476
star,3,2500,0.01,0.01,7091,270306,154.595
star,3,2500,0.01,0.01,7091,284494,154.591
star,3,2500,0.01,0.01,7091,283742,154.583
tree,3,2500,0.01,0.01,7091,289588,154.62
tree,3,2500,0.01,0.01,7091,283459,154.599
tree,3,2500,0.01,0.01,7091,287665,154.595
star,3,2550,0.01,0.01,7250,290111,160.866
star,3,2550,0.01,0.01,7250,290248,160.866
star,3,2550,0.01,0.01,7250,295190,160.866
tree,3,2550,0.01,0.01,7250,298896,160.862
tree,3,2550,0.01,0.01,7250,284557,160.862
tree,3,2550,0.01,0.01,7250,297568,160.858
star,3,2600,0.01,0.01,7370,312960,167.191
star,3,2600,0.01,0.01,7370,307538,167.207
star,3,2600,0.01,0.01,7370,308866,167.199
tree,3,2600,0.01,0.01,7370,313193,167.211
tree,3,2600,0.01,0.01,7370,300663,167.195
tree,3,2600,0.01,0.01,7370,312537,167.191
star,3,2650,0.01,0.01,7528,322529,173.699
star,3,2650,0.01,0.01,7528,314738,173.679
star,3,2650,0.01,0.01,7528,319340,173.703
tree,3,2650,0.01,0.01,7528,319698,173.703
tree,3,2650,0.01,0.01,7528,313309,173.703
tree,3,2650,0.01,0.01,7528,323184,173.711
star,3,2700,0.01,0.01,7680,344203,180.355
star,3,2700,0.01,0.01,7680,339761,180.343
star,3,2700,0.01,0.01,7680,348490,180.33
tree,3,2700,0.01,0.01,7680,340544,180.343
tree,3,2700,0.01,0.01,7680,345853,180.339
tree,3,2700,0.01,0.01,7680,348892,180.343
