algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
bound,8,10,0.05,0.05,196,84076,9.25286
bound,8,10,0.05,0.05,196,84737,9.24058
bound,8,10,0.05,0.05,196,84121,9.24058
star,8,10,0.05,0.05,238,103,1.15917
star,8,10,0.05,0.05,238,103,1.16736
star,8,10,0.05,0.05,238,112,1.16326
tree,8,10,0.05,0.05,238,210,1.15507
tree,8,10,0.05,0.05,238,113,1.15507
tree,8,10,0.05,0.05,238,115,1.15098
bound,9,10,0.05,0.05,256,538003,41.8284
bound,9,10,0.05,0.05,256,537787,41.8202
bound,9,10,0.05,0.05,256,546597,41.8161
star,9,10,0.05,0.05,304,242,1.15098
star,9,10,0.05,0.05,304,122,1.15507
star,9,10,0.05,0.05,304,120,1.16736
tree,9,10,0.05,0.05,299,133,1.15917
tree,9,10,0.05,0.05,299,132,1.15507
tree,9,10,0.05,0.05,299,131,1.15917
bound,10,10,0.05,0.05,324,3637991,204.624
bound,10,10,0.05,0.05,324,3645317,204.628
bound,10,10,0.05,0.05,324,3707611,204.632
star,10,10,0.05,0.05,379,300,1.17146
star,10,10,0.05,0.05,379,278,1.20013
star,10,10,0.05,0.05,379,155,1.18784
tree,10,10,0.05,0.05,373,182,1.17555
tree,10,10,0.05,0.05,373,184,1.18374
tree,10,10,0.05,0.05,373,167,1.20013
