algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
star,8,10,0.05,0.05,238,165,1.17146
star,8,10,0.05,0.05,238,221,1.15507
star,8,10,0.05,0.05,238,104,1.17555
tree,8,10,0.05,0.05,238,219,1.16736
tree,8,10,0.05,0.05,238,112,1.16736
tree,8,10,0.05,0.05,238,221,1.16326
star,9,10,0.05,0.05,304,121,1.15507
star,9,10,0.05,0.05,304,121,1.15917
star,9,10,0.05,0.05,304,120,1.15507
tree,9,10,0.05,0.05,299,138,1.15917
tree,9,10,0.05,0.05,299,141,1.16736
tree,9,10,0.05,0.05,299,275,1.15917
star,10,10,0.05,0.05,379,181,1.19194
star,10,10,0.05,0.05,379,308,1.19603
star,10,10,0.05,0.05,379,301,1.17146
tree,10,10,0.05,0.05,373,166,1.17555
tree,10,10,0.05,0.05,373,332,1.20013
tree,10,10,0.05,0.05,373,168,1.17555
star,11,10,0.05,0.05,471,177,1.19603
star,11,10,0.05,0.05,471,184,1.21242
star,11,10,0.05,0.05,471,180,1.20832
tree,11,10,0.05,0.05,464,191,1.20422
tree,11,10,0.05,0.05,464,369,1.20422
tree,11,10,0.05,0.05,464,225,1.20422
star,12,10,0.05,0.05,553,202,1.2288
star,12,10,0.05,0.05,553,200,1.2247
star,12,10,0.05,0.05,553,203,1.21242
tree,12,10,0.05,0.05,537,380,1.21651
tree,12,10,0.05,0.05,537,435,1.21651
tree,12,10,0.05,0.05,537,229,1.21242
star,13,10,0.05,0.05,651,241,1.2247
star,13,10,0.05,0.05,651,466,1.2329
star,13,10,0.05,0.05,651,247,1.24109
tree,13,10,0.05,0.05,633,503,1.2329
tree,13,10,0.05,0.05,633,514,1.24518
tree,13,10,0.05,0.05,633,560,1.2288
star,14,10,0.05,0.05,757,317,1.2329
star,14,10,0.05,0.05,757,332,1.23699
star,14,10,0.05,0.05,757,408,1.2329
tree,14,10,0.05,0.05,737,282,1.25747
tree,14,10,0.05,0.05,737,294,1.23699
tree,14,10,0.05,0.05,737,416,1.2329
star,15,10,0.05,0.05,885,304,1.27386
star,15,10,0.05,0.05,885,381,1.26157
star,15,10,0.05,0.05,885,558,1.27386
tree,15,10,0.05,0.05,863,325,1.27795
tree,15,10,0.05,0.05,863,329,1.26976
tree,15,10,0.05,0.05,863,574,1.27386
star,16,10,0.05,0.05,1023,351,1.30253
star,16,10,0.05,0.05,1023,750,1.31482
star,16,10,0.05,0.05,1023,361,1.31891
tree,16,10,0.05,0.05,999,748,1.29843
tree,16,10,0.05,0.05,999,378,1.31072
tree,16,10,0.05,0.05,999,374,1.29434
star,17,10,0.05,0.05,1171,372,1.31072
star,17,10,0.05,0.05,1171,374,1.31482
star,17,10,0.05,0.05,1171,370,1.31482
tree,17,10,0.05,0.05,1145,410,1.32301
tree,17,10,0.05,0.05,1145,406,1.32301
tree,17,10,0.05,0.05,1145,803,1.31072
star,18,10,0.05,0.05,1312,448,1.34758
star,18,10,0.05,0.05,1312,429,1.35987
star,18,10,0.05,0.05,1312,440,1.36397
tree,18,10,0.05,0.05,1284,480,1.35987
tree,18,10,0.05,0.05,1284,478,1.35987
tree,18,10,0.05,0.05,1284,472,1.35987
star,19,10,0.05,0.05,1461,478,1.36806
star,19,10,0.05,0.05,1461,476,1.37216
star,19,10,0.05,0.05,1461,475,1.38035
tree,19,10,0.05,0.05,1431,715,1.37216
tree,19,10,0.05,0.05,1431,529,1.37216
tree,19,10,0.05,0.05,1431,579,1.38445
star,20,10,0.05,0.05,1637,622,1.40493
star,20,10,0.05,0.05,1637,538,1.39264
star,20,10,0.05,0.05,1637,512,1.41312
tree,20,10,0.05,0.05,1605,614,1.40493
tree,20,10,0.05,0.05,1605,1125,1.42131
tree,20,10,0.05,0.05,1605,611,1.40902
star,21,10,0.05,0.05,1823,593,1.42131
star,21,10,0.05,0.05,1823,566,1.41312
star,21,10,0.05,0.05,1823,582,1.4295
tree,21,10,0.05,0.05,1789,841,1.44179
tree,21,10,0.05,0.05,1789,652,1.44179
tree,21,10,0.05,0.05,1789,636,1.4295
star,22,10,0.05,0.05,1956,610,1.45408
star,22,10,0.05,0.05,1956,640,1.44179
star,22,10,0.05,0.05,1956,611,1.45818
tree,22,10,0.05,0.05,1903,996,1.44998
tree,22,10,0.05,0.05,1903,684,1.44589
tree,22,10,0.05,0.05,1903,845,1.45818
star,23,10,0.05,0.05,2159,716,1.50323
star,23,10,0.05,0.05,2159,1108,1.51552
star,23,10,0.05,0.05,2159,711,1.51142
tree,23,10,0.05,0.05,2103,1275,1.49914
tree,23,10,0.05,0.05,2103,765,1.51552
tree,23,10,0.05,0.05,2103,767,1.50733
star,24,10,0.05,0.05,2372,733,1.5319
star,24,10,0.05,0.05,2372,1149,1.536
star,24,10,0.05,0.05,2372,719,1.52781
tree,24,10,0.05,0.05,2313,1330,1.5319
tree,24,10,0.05,0.05,2313,817,1.5401
tree,24,10,0.05,0.05,2313,821,1.51962
star,25,10,0.05,0.05,2595,1257,1.54829
star,25,10,0.05,0.05,2595,786,1.55648
star,25,10,0.05,0.05,2595,769,1.5401
tree,25,10,0.05,0.05,2533,887,1.56058
tree,25,10,0.05,0.05,2533,898,1.55648
tree,25,10,0.05,0.05,2533,1295,1.55238
star,26,10,0.05,0.05,2828,831,1.58106
star,26,10,0.05,0.05,2828,985,1.58515
star,26,10,0.05,0.05,2828,1191,1.59334
tree,26,10,0.05,0.05,2763,937,1.59334
tree,26,10,0.05,0.05,2763,1013,1.59334
tree,26,10,0.05,0.05,2763,1280,1.59744
star,27,10,0.05,0.05,3019,1319,1.64659
star,27,10,0.05,0.05,3019,893,1.6425
star,27,10,0.05,0.05,3019,882,1.65069
tree,27,10,0.05,0.05,2931,1688,1.6384
tree,27,10,0.05,0.05,2931,1025,1.6384
tree,27,10,0.05,0.05,2931,1025,1.6384
star,28,10,0.05,0.05,3218,963,1.67526
star,28,10,0.05,0.05,3218,963,1.68755
star,28,10,0.05,0.05,3218,973,1.67526
tree,28,10,0.05,0.05,3103,1159,1.67117
tree,28,10,0.05,0.05,3103,1122,1.68346
tree,28,10,0.05,0.05,3103,1104,1.68755
star,29,10,0.05,0.05,3477,993,1.7367
star,29,10,0.05,0.05,3477,1006,1.71622
star,29,10,0.05,0.05,3477,1008,1.70803
tree,29,10,0.05,0.05,3357,1225,1.7367
tree,29,10,0.05,0.05,3357,1157,1.7449
tree,29,10,0.05,0.05,3357,1313,1.72851
star,30,10,0.05,0.05,3660,1058,1.76947
star,30,10,0.05,0.05,3660,1058,1.76128
star,30,10,0.05,0.05,3660,1054,1.78586
tree,30,10,0.05,0.05,3510,1338,1.76947
tree,30,10,0.05,0.05,3510,1249,1.76538
tree,30,10,0.05,0.05,3510,1780,1.77357
star,31,10,0.05,0.05,3826,1124,1.80634
star,31,10,0.05,0.05,3826,1219,1.80634
star,31,10,0.05,0.05,3826,1190,1.81043
tree,31,10,0.05,0.05,3648,1630,1.81043
tree,31,10,0.05,0.05,3648,1410,1.81043
tree,31,10,0.05,0.05,3648,1866,1.80634
star,32,10,0.05,0.05,4108,1187,1.82272
star,32,10,0.05,0.05,4108,1188,1.81862
star,32,10,0.05,0.05,4108,1184,1.82682
tree,32,10,0.05,0.05,3923,1412,1.81043
tree,32,10,0.05,0.05,3923,1412,1.83501
tree,32,10,0.05,0.05,3923,1759,1.83091
star,33,10,0.05,0.05,4371,1299,1.95379
star,33,10,0.05,0.05,4371,1683,1.9497
star,33,10,0.05,0.05,4371,1343,1.95789
tree,33,10,0.05,0.05,4180,1807,1.9497
tree,33,10,0.05,0.05,4180,1817,1.95789
tree,33,10,0.05,0.05,4180,1548,1.9497
star,34,10,0.05,0.05,4573,1347,1.93741
star,34,10,0.05,0.05,4573,1355,1.9497
star,34,10,0.05,0.05,4573,1347,1.9497
tree,34,10,0.05,0.05,4354,1612,1.9456
tree,34,10,0.05,0.05,4354,1619,1.95789
tree,34,10,0.05,0.05,4354,2124,1.96608
star,35,10,0.05,0.05,4881,1467,1.96608
star,35,10,0.05,0.05,4881,1468,1.98656
star,35,10,0.05,0.05,4881,1467,1.97837
tree,35,10,0.05,0.05,4654,2052,1.98656
tree,35,10,0.05,0.05,4654,2198,1.97837
tree,35,10,0.05,0.05,4654,2104,1.98246
star,36,10,0.05,0.05,5100,1483,2.06848
star,36,10,0.05,0.05,5100,1526,2.07258
star,36,10,0.05,0.05,5100,1533,2.06029
tree,36,10,0.05,0.05,4866,1824,2.06438
tree,36,10,0.05,0.05,4866,1847,2.06848
tree,36,10,0.05,0.05,4866,2478,2.07258
star,37,10,0.05,0.05,5392,2183,2.07258
star,37,10,0.05,0.05,5392,2050,2.08077
star,37,10,0.05,0.05,5392,1606,2.07258
tree,37,10,0.05,0.05,5156,1937,2.06848
tree,37,10,0.05,0.05,5156,2401,2.07667
tree,37,10,0.05,0.05,5156,1930,2.07667
star,38,10,0.05,0.05,5690,1625,2.17498
star,38,10,0.05,0.05,5690,1674,2.16678
star,38,10,0.05,0.05,5690,1674,2.17907
tree,38,10,0.05,0.05,5419,2314,2.16678
tree,38,10,0.05,0.05,5419,2181,2.16678
tree,38,10,0.05,0.05,5419,2143,2.16678
star,39,10,0.05,0.05,6033,1812,2.19955
star,39,10,0.05,0.05,6033,2566,2.21184
star,39,10,0.05,0.05,6033,1720,2.20774
tree,39,10,0.05,0.05,5753,2287,2.22413
tree,39,10,0.05,0.05,5753,2174,2.20774
tree,39,10,0.05,0.05,5753,2189,2.19955
star,40,10,0.05,0.05,6386,2060,2.27738
star,40,10,0.05,0.05,6386,2249,2.27738
star,40,10,0.05,0.05,6386,1793,2.28147
tree,40,10,0.05,0.05,6097,2272,2.27328
tree,40,10,0.05,0.05,6097,2259,2.26509
tree,40,10,0.05,0.05,6097,2515,2.27328
star,41,10,0.05,0.05,6749,1921,2.33882
star,41,10,0.05,0.05,6749,1916,2.36749
star,41,10,0.05,0.05,6749,2335,2.36749
tree,41,10,0.05,0.05,6451,2681,2.37568
tree,41,10,0.05,0.05,6451,2534,2.38387
tree,41,10,0.05,0.05,6451,2475,2.38387
star,42,10,0.05,0.05,7044,2501,2.40026
star,42,10,0.05,0.05,7044,2027,2.37568
star,42,10,0.05,0.05,7044,1977,2.37978
tree,42,10,0.05,0.05,6707,2676,2.38797
tree,42,10,0.05,0.05,6707,2479,2.39206
tree,42,10,0.05,0.05,6707,2986,2.39206
star,43,10,0.05,0.05,7425,2185,2.46579
star,43,10,0.05,0.05,7425,2169,2.48627
star,43,10,0.05,0.05,7425,2089,2.49446
tree,43,10,0.05,0.05,7078,2607,2.46579
tree,43,10,0.05,0.05,7078,2592,2.46989
tree,43,10,0.05,0.05,7078,2655,2.48218
star,44,10,0.05,0.05,7816,2472,2.61734
star,44,10,0.05,0.05,7816,2205,2.63373
star,44,10,0.05,0.05,7816,2683,2.61325
tree,44,10,0.05,0.05,7459,3032,2.62144
tree,44,10,0.05,0.05,7459,2790,2.62144
tree,44,10,0.05,0.05,7459,2945,2.60096
star,45,10,0.05,0.05,8176,2231,2.61734
star,45,10,0.05,0.05,8176,2223,2.61734
star,45,10,0.05,0.05,8176,2243,2.60915
tree,45,10,0.05,0.05,7809,4173,2.60506
tree,45,10,0.05,0.05,7809,3730,2.64192
tree,45,10,0.05,0.05,7809,3121,2.60915
star,46,10,0.05,0.05,8586,2461,2.71974
star,46,10,0.05,0.05,8586,2891,2.73203
star,46,10,0.05,0.05,8586,2341,2.72384
tree,46,10,0.05,0.05,8209,3003,2.71974
tree,46,10,0.05,0.05,8209,3042,2.71974
tree,46,10,0.05,0.05,8209,3119,2.69926
star,47,10,0.05,0.05,8969,2678,2.71565
star,47,10,0.05,0.05,8969,2513,2.71565
star,47,10,0.05,0.05,8969,2972,2.71565
tree,47,10,0.05,0.05,8584,3370,2.71974
tree,47,10,0.05,0.05,8584,3122,2.72384
tree,47,10,0.05,0.05,8584,3650,2.72384
star,48,10,0.05,0.05,9398,2676,2.8631
star,48,10,0.05,0.05,9398,2636,2.84672
