algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
star,2,10000,0.05,0.05,7372,91488,8.06912
star,2,10000,0.05,0.05,7372,91323,8.06912
star,2,10000,0.05,0.05,7372,91206,8.06502
tree,2,10000,0.05,0.05,7372,92680,8.07322
tree,2,10000,0.05,0.05,7372,90949,8.07322
tree,2,10000,0.05,0.05,7372,91118,8.07731
star,3,10000,0.05,0.05,21931,273817,21.889
star,3,10000,0.05,0.05,21931,273629,21.9136
star,3,10000,0.05,0.05,21931,273324,21.8931
tree,3,10000,0.05,0.05,21931,274669,21.9341
tree,3,10000,0.05,0.05,21931,273533,21.9382
tree,3,10000,0.05,0.05,21931,273502,21.93
star,4,10000,0.05,0.05,42121,549080,42.6025
star,4,10000,0.05,0.05,42121,548339,42.6189
star,4,10000,0.05,0.05,42121,548229,42.6066
tree,4,10000,0.05,0.05,42790,549881,42.7254
tree,4,10000,0.05,0.05,42790,548444,42.709
tree,4,10000,0.05,0.05,42790,547871,42.7254
star,5,10000,0.05,0.05,70658,915414,70.3078
star,5,10000,0.05,0.05,70658,914694,70.3078
star,5,10000,0.05,0.05,70658,915051,70.2996
tree,5,10000,0.05,0.05,70990,917787,70.4635
tree,5,10000,0.05,0.05,70990,916693,70.4717
tree,5,10000,0.05,0.05,70990,915717,70.4717
star,6,10000,0.05,0.05,106296,1376042,104.882
star,6,10000,0.05,0.05,106296,1379834,104.87
star,6,10000,0.05,0.05,106296,1387191,104.878
tree,6,10000,0.05,0.05,108599,1370609,104.989
tree,6,10000,0.05,0.05,108599,1378050,104.997
tree,6,10000,0.05,0.05,108599,1374487,104.98
star,7,10000,0.05,0.05,155612,1920854,146.244
star,7,10000,0.05,0.05,155612,1925743,146.239
star,7,10000,0.05,0.05,155612,1925364,146.268
tree,7,10000,0.05,0.05,154814,1934623,146.346
tree,7,10000,0.05,0.05,154814,1923990,146.342
tree,7,10000,0.05,0.05,154814,1926022,146.342
star,8,10000,0.05,0.05,207553,2558183,194.765
star,8,10000,0.05,0.05,207553,2571568,194.748
star,8,10000,0.05,0.05,207553,2561837,194.748
tree,8,10000,0.05,0.05,202588,2571886,194.621
tree,8,10000,0.05,0.05,202588,2572007,194.617
tree,8,10000,0.05,0.05,202588,2564767,194.626
star,9,10000,0.05,0.05,266217,3300753,249.979
star,9,10000,0.05,0.05,266217,3293029,249.967
star,9,10000,0.05,0.05,266217,3291994,249.967
tree,9,10000,0.05,0.05,259807,3358592,250.27
tree,9,10000,0.05,0.05,259807,3311475,250.29
tree,9,10000,0.05,0.05,259807,3292625,250.278
star,10,10000,0.05,0.05,332400,4140104,311.988
star,10,10000,0.05,0.05,332400,4132252,311.996
star,10,10000,0.05,0.05,332400,4109405,311.996
tree,10,10000,0.05,0.05,324261,4145352,312.267
tree,10,10000,0.05,0.05,324261,4140780,312.271
tree,10,10000,0.05,0.05,324261,4191915,312.287
