algo,count,len,insert_rate,mutate_rate,score,time_us,mem_mb
exact,2,10,0.05,0.05,8,15,1.11821
exact,2,10,0.05,0.05,8,29,1.09363
exact,2,10,0.05,0.05,8,16,1.08134
bound,2,10,0.05,0.05,2,34,1.09773
bound,2,10,0.05,0.05,2,15,1.09773
bound,2,10,0.05,0.05,2,16,1.09773
star,2,10,0.05,0.05,8,17,1.09773
star,2,10,0.05,0.05,8,18,1.09363
star,2,10,0.05,0.05,8,20,1.11411
tree,2,10,0.05,0.05,8,24,1.09363
tree,2,10,0.05,0.05,8,39,1.09773
tree,2,10,0.05,0.05,8,44,1.08954
exact,3,10,0.05,0.05,26,115,1.11821
exact,3,10,0.05,0.05,26,114,1.1264
exact,3,10,0.05,0.05,26,113,1.1305
bound,3,10,0.05,0.05,14,22,1.08544
bound,3,10,0.05,0.05,14,20,1.09773
bound,3,10,0.05,0.05,14,19,1.09773
star,3,10,0.05,0.05,26,47,1.09773
star,3,10,0.05,0.05,26,24,1.10182
star,3,10,0.05,0.05,26,24,1.10592
tree,3,10,0.05,0.05,26,59,1.09363
tree,3,10,0.05,0.05,26,57,1.08954
tree,3,10,0.05,0.05,26,58,1.08954
exact,4,10,0.05,0.05,54,1933,1.33939
exact,4,10,0.05,0.05,54,1893,1.32301
exact,4,10,0.05,0.05,54,1857,1.31891
bound,4,10,0.05,0.05,36,201,1.09363
bound,4,10,0.05,0.05,36,141,1.09363
bound,4,10,0.05,0.05,36,66,1.10592
star,4,10,0.05,0.05,54,32,1.09773
star,4,10,0.05,0.05,54,63,1.10182
star,4,10,0.05,0.05,54,31,1.09363
tree,4,10,0.05,0.05,54,41,1.11411
tree,4,10,0.05,0.05,54,83,1.11002
tree,4,10,0.05,0.05,54,82,1.10592
exact,5,10,0.05,0.05,84,46446,4.07962
exact,5,10,0.05,0.05,84,49413,4.08781
exact,5,10,0.05,0.05,84,46398,4.07962
bound,5,10,0.05,0.05,60,722,1.17146
bound,5,10,0.05,0.05,60,607,1.16736
bound,5,10,0.05,0.05,60,520,1.15098
star,5,10,0.05,0.05,84,55,1.1305
star,5,10,0.05,0.05,84,51,1.1223
star,5,10,0.05,0.05,84,52,1.15098
tree,5,10,0.05,0.05,84,57,1.11821
tree,5,10,0.05,0.05,84,115,1.1264
tree,5,10,0.05,0.05,84,57,1.1264
exact,6,10,0.05,0.05,130,1473440,39.7885
exact,6,10,0.05,0.05,130,1479133,39.7967
exact,6,10,0.05,0.05,130,1483416,39.7967
bound,6,10,0.05,0.05,100,1876,1.4336
bound,6,10,0.05,0.05,100,1893,1.4377
bound,6,10,0.05,0.05,100,1870,1.42541
star,6,10,0.05,0.05,130,68,1.1223
star,6,10,0.05,0.05,130,67,1.14688
star,6,10,0.05,0.05,130,70,1.13459
tree,6,10,0.05,0.05,130,74,1.14278
tree,6,10,0.05,0.05,130,147,1.1223
tree,6,10,0.05,0.05,130,74,1.14278
exact,7,10,0.05,0.05,186,43445165,503.972
exact,7,10,0.05,0.05,186,42699058,503.964
exact,7,10,0.05,0.05,186,42107726,503.984
bound,7,10,0.05,0.05,150,13961,2.72794
bound,7,10,0.05,0.05,150,11695,2.73203
bound,7,10,0.05,0.05,150,11633,2.73613
star,7,10,0.05,0.05,186,103,1.13869
star,7,10,0.05,0.05,186,81,1.16326
star,7,10,0.05,0.05,186,161,1.13459
tree,7,10,0.05,0.05,186,91,1.13869
tree,7,10,0.05,0.05,186,106,1.13869
tree,7,10,0.05,0.05,186,90,1.14278
